comp_name,dep_status,duration,end_date,etl_type,failed_steps,i_load_plan,name,nb_run,row_tag,running_steps,sess_no,start_date,status,succ_steps,total_steps
116863 - 1 - sds-oalodi-app plan1,,00:00,2020-06-11 04:04:10.0,CDP-OCI,0,1302,sds-oalodi-app plan1,1,367,0,116863,2020-06-11 04:03:40.0,Completed,5,5
116858 - 1 - fdl-common-app hourly consume,,00:08,2020-06-11 04:11:06.0,CDP-OCI,0,812,fdl-common-app hourly consume,1,368,0,116858,2020-06-11 04:02:52.0,Completed,48,63
116855 - 1 - sds-fia-app hourly auto load plan1,,00:00,2020-06-11 04:03:18.0,CDP-OCI,0,1462,sds-fia-app hourly auto load plan1,1,369,0,116855,2020-06-11 04:02:47.0,Completed,178,178
116854 - 1 - sds-fia-erp hourly load plan Fin01,,00:02,2020-06-11 04:05:21.0,CDP-OCI,0,463,sds-fia-erp hourly load plan Fin01,1,370,0,116854,2020-06-11 04:02:40.0,Completed,229,408
116853 - 1 - apl-scm-core quality conditional load plan,,00:00,2020-06-11 04:01:23.0,CDP-OCI,0,1652,apl-scm-core quality conditional load plan,1,371,0,116853,2020-06-11 04:01:21.0,Completed,0,8
116859 - 1 - appl-monitor-app plan,,00:04,2020-06-11 04:05:40.0,CDP-OCI,0,774,appl-monitor-app plan,1,372,0,116859,2020-06-11 04:01:01.0,Completed,5,5
116857 - 1 - apl-scm-app 900 parallel daily load plan,,08:17,2020-06-11 12:18:45.0,CDP-OCI,0,770,apl-scm-app 900 parallel daily load plan,1,373,0,116857,2020-06-11 04:00:56.0,Completed,17,17
116856 - 1 - apl-scm-app 901 serial daily load plan,,01:55,2020-06-11 05:55:56.0,CDP-OCI,0,771,apl-scm-app 901 serial daily load plan,1,374,0,116856,2020-06-11 04:00:56.0,Completed,56,56
116852 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 03:59:53.0,CDP-OCI,0,460,sds-fia-app om custom load,1,375,0,116852,2020-06-11 03:59:38.0,Completed,15,15
116851 - 1 - apl-scm-mfg-quality-conditional,,00:00,2020-06-11 03:58:06.0,CDP-OCI,0,1662,apl-scm-mfg-quality-conditional,1,376,0,116851,2020-06-11 03:58:04.0,Completed,0,5
116850 - 1 - apl-scm-app 201 MAKE hourly load plan,,00:59,2020-06-11 04:55:32.0,CDP-OCI,0,849,apl-scm-app 201 MAKE hourly load plan,1,377,0,116850,2020-06-11 03:55:35.0,Completed,13,13
116849 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 03:52:06.0,CDP-OCI,0,460,sds-fia-app om custom load,1,378,0,116849,2020-06-11 03:51:53.0,Completed,15,15
116848 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 03:44:21.0,CDP-OCI,0,460,sds-fia-app om custom load,1,379,0,116848,2020-06-11 03:44:07.0,Completed,15,15
116847 - 1 - apl-scm-core quality conditional load plan,,00:00,2020-06-11 03:43:49.0,CDP-OCI,0,1652,apl-scm-core quality conditional load plan,1,380,0,116847,2020-06-11 03:43:47.0,Completed,0,8
116846 - 1 - apl-scm-mfg-quality-conditional,,00:00,2020-06-11 03:40:32.0,CDP-OCI,0,1662,apl-scm-mfg-quality-conditional,1,381,0,116846,2020-06-11 03:40:30.0,Completed,0,5
116845 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 03:36:35.0,CDP-OCI,0,460,sds-fia-app om custom load,1,382,0,116845,2020-06-11 03:36:21.0,Completed,15,15
116843 - 1 - apl-scm-app 101 inventory hourly load plan,,00:23,2020-06-11 03:56:15.0,CDP-OCI,0,758,apl-scm-app 101 inventory hourly load plan,1,383,0,116843,2020-06-11 03:32:33.0,Completed,18,18
116844 - 1 - apl-scm-scp OPTION LP,,00:00,2020-06-11 03:32:55.0,CDP-OCI,0,1059,apl-scm-scp OPTION LP,1,384,0,116844,2020-06-11 03:32:32.0,Completed,4,7
116842 - 1 - sds-fia-app om custom load,,00:00,2020-06-11 03:28:49.0,CDP-OCI,0,460,sds-fia-app om custom load,1,385,0,116842,2020-06-11 03:28:38.0,Completed,15,15
116841 - 1 - apl-oalops-app BugDB OSvC Load Plan,,00:26,2020-06-11 03:54:20.0,CDP-OCI,0,95,apl-oalops-app BugDB OSvC Load Plan,1,386,0,116841,2020-06-11 03:27:43.0,Completed,52,52
116840 - 1 - apl-scm-core quality conditional load plan,,00:00,2020-06-11 03:26:15.0,CDP-OCI,0,1652,apl-scm-core quality conditional load plan,1,387,0,116840,2020-06-11 03:26:13.0,Completed,0,8
